eps_c_MeVfm3,B_MeVfm3,Delta_MeV,epsilon_surface_MeVfm3,alpha,R_aniso_km,M_msun,R_km,compactness_2M_R,max_sigma_over_pr,NEC_pass,SEC_pass,DEC_pass,n_steps,status
550.0,80,50,272.5273642590275,0.0,8.0,1.4879402005240099,10.35,0.4245789751080238,0.0,True,True,True,414,ok
600.0,80,50,272.5273642590275,0.0,8.0,1.5709453779474245,10.425,0.4450393143182796,0.0,True,True,True,417,ok
650.0,80,50,272.5273642590275,0.0,8.0,1.637950635342999,10.475,0.4618065983045292,0.0,True,True,True,419,ok
700.0,80,50,272.5273642590275,0.0,8.0,1.6851969844482575,10.475,0.4751273146263851,0.0,True,True,True,419,ok
750.0,80,50,272.5273642590275,0.0,8.0,1.7245592377214083,10.475,0.4862251755102502,0.0,True,True,True,419,ok
800.0,80,50,272.5273642590275,0.0,8.0,1.7539041030358804,10.45,0.49568172821670337,0.0,True,True,True,418,ok
850.0,80,50,272.5273642590275,0.0,8.0,1.7766527744336646,10.425,0.5033149742919256,0.0,True,True,True,417,ok
900.0,80,50,272.5273642590275,0.0,8.0,1.7905894538275124,10.375,0.5097077928773411,0.0,True,True,True,415,ok
950.0,80,50,272.5273642590275,0.0,8.0,1.8085903699590886,10.35,0.5160754749398146,0.0,True,True,True,414,ok
1000.0,80,50,272.5273642590275,0.0,8.0,1.8159049211583178,10.3,0.5206780114316417,0.0,True,True,True,412,ok
1050.0,80,50,272.5273642590275,0.0,8.0,1.8211301391370758,10.25,0.5247234497348742,0.0,True,True,True,410,ok
1100.0,80,50,272.5273642590275,0.0,8.0,1.8325578290076325,10.225,0.529307110642858,0.0,True,True,True,409,ok
1150.0,80,50,272.5273642590275,0.0,8.0,1.8342947293317944,10.175,0.5324122714941812,0.0,True,True,True,407,ok
1200.0,80,50,272.5273642590275,0.0,8.0,1.8346302790001843,10.125,0.5351393436546755,0.0,True,True,True,405,ok
1250.0,80,50,272.5273642590275,0.0,8.0,1.8415621659004477,10.1,0.5384908979285318,0.0,True,True,True,404,ok
1300.0,80,50,272.5273642590275,0.0,8.0,1.8395107787690677,10.05,0.5405671270323582,0.0,True,True,True,402,ok
1350.0,80,50,272.5273642590275,0.0,8.0,1.836498488510567,10.0,0.5423803311224554,0.0,True,True,True,400,ok
1400.0,80,50,272.5273642590275,0.0,8.0,1.840276281230941,9.975,0.5448581869917715,0.0,True,True,True,399,ok
1450.0,80,50,272.5273642590275,0.0,8.0,1.8355956958785455,9.925,0.546210282941115,0.0,True,True,True,397,ok
1500.0,80,50,272.5273642590275,0.0,8.0,1.8377683080092333,9.9,0.548237729207887,0.0,True,True,True,396,ok
1550.0,80,50,272.5273642590275,0.0,8.0,1.8317620455357835,9.85,0.5492197957011383,0.0,True,True,True,394,ok
1600.0,80,50,272.5273642590275,0.0,8.0,1.8326363755605988,9.825,0.5508801201986181,0.0,True,True,True,393,ok
1650.0,80,50,272.5273642590275,0.0,8.0,1.8255703683648092,9.775,0.5515630551024173,0.0,True,True,True,391,ok
1700.0,80,50,272.5273642590275,0.0,8.0,1.8253872019552715,9.75,0.55292183703132,0.0,True,True,True,390,ok
1750.0,80,50,272.5273642590275,0.0,8.0,1.8235151269964565,9.725,0.553774708313966,0.0,True,True,True,389,ok
1800.0,80,50,272.5273642590275,0.0,8.0,1.8164199906904404,9.675,0.5544707692898843,0.0,True,True,True,387,ok
1850.0,80,50,272.5273642590275,0.0,8.0,1.814972163650689,9.65,0.5554641210637006,0.0,True,True,True,386,ok
1900.0,80,50,272.5273642590275,0.0,8.0,1.8131617043018042,9.625,0.5563513628436383,0.0,True,True,True,385,ok
1950.0,80,50,272.5273642590275,0.0,8.0,1.8039558612535573,9.575,0.5564171162977029,0.0,True,True,True,383,ok
2000.0,80,50,272.5273642590275,0.0,8.0,1.8015563592313832,9.55,0.5571316591341434,0.0,True,True,True,382,ok
2050.0,80,50,272.5273642590275,0.0,8.0,1.7988795345960389,9.525,0.5577639656815349,0.0,True,True,True,381,ok
2100.0,80,50,272.5273642590275,0.0,8.0,1.7959489093820618,9.5,0.5583206991850633,0.0,True,True,True,380,ok
2150.0,80,50,272.5273642590275,0.0,8.0,1.7927858215955248,9.475,0.5588079124569064,0.0,True,True,True,379,ok
2200.0,80,50,272.5273642590275,0.0,8.0,1.7894096569146922,9.45,0.559231112213433,0.0,True,True,True,378,ok
400.0,80,50,272.5273642590275,0.1,8.0,1.0330748590710237,9.525,0.3203171302800677,0.05863645727719633,True,True,True,381,ok
450.0,80,50,272.5273642590275,0.1,8.0,1.2686684299902562,10.05,0.3728167599079781,0.06121270889835003,True,True,True,402,ok
500.0,80,50,272.5273642590275,0.1,8.0,1.4257123665723266,10.3,0.40879732812600206,0.062372861426303716,True,True,True,412,ok
550.0,80,50,272.5273642590275,0.1,8.0,1.5435671847909507,10.45,0.4362371058094945,0.06304903220219109,True,True,True,418,ok
600.0,80,50,272.5273642590275,0.1,8.0,1.6292615851367414,10.525,0.45717457511382864,0.06338162143605551,True,True,True,421,ok
650.0,80,50,272.5273642590275,0.1,8.0,1.6909720596159064,10.55,0.4733662917192794,0.06349167866972805,True,True,True,422,ok
700.0,80,50,272.5273642590275,0.1,8.0,1.7378613992683973,10.55,0.4864923707140483,0.06349167866972805,True,True,True,422,ok
750.0,80,50,272.5273642590275,0.1,8.0,1.7707694244040704,10.525,0.49688200262731025,0.06338162143605551,True,True,True,421,ok
800.0,80,50,272.5273642590275,0.1,8.0,1.7990254822385923,10.5,0.5060126481940088,0.06327116212338593,True,True,True,420,ok
850.0,80,50,272.5273642590275,0.1,8.0,1.8232743103917288,10.475,0.5140570716172528,0.06316029946647192,True,True,True,419,ok
900.0,80,50,272.5273642590275,0.1,8.0,1.8356893444972935,10.425,0.5200396771553373,0.06293735906966981,True,True,True,417,ok
950.0,80,50,272.5273642590275,0.1,8.0,1.8535270842218277,10.4,0.5263552436115303,0.06282527881040892,True,True,True,416,ok
1000.0,80,50,272.5273642590275,0.1,8.0,1.8605135729867575,10.35,0.5308915947798792,0.06259989189031251,True,True,True,414,ok
1050.0,80,50,272.5273642590275,0.1,8.0,1.8653505048322674,10.3,0.5348556414834436,0.062372861426303716,True,True,True,412,ok
1100.0,80,50,272.5273642590275,0.1,8.0,1.8683200469869519,10.25,0.5383203095679616,0.062144177449168204,True,True,True,410,ok
1150.0,80,50,272.5273642590275,0.1,8.0,1.8696620334319753,10.2,0.5413476974990091,0.061913830040466564,True,True,True,408,ok
