A,x_match,q,compactness_2M_over_R,branch
3.8000000000000003,4.0,2,0.5500833682246754,subcompact
4.0,4.0,2,0.5790351244470268,subcompact
4.2,4.0,2,0.6079868806693781,subcompact
4.4,4.0,2,0.6369386368917295,subcompact
4.6000000000000005,4.0,2,0.6658903931140808,subcompact
4.800000000000001,4.0,2,0.6948421493364322,subcompact
5.000000000000001,4.0,2,0.7237939055587835,subcompact
5.2,4.0,2,0.7527456617811348,subcompact
5.4,4.0,2,0.7816974180034861,subcompact
5.6000000000000005,4.0,2,0.8106491742258375,compact_below_horizon
5.800000000000001,4.0,2,0.8396009304481888,compact_below_horizon
6.000000000000001,4.0,2,0.8685526866705403,compact_below_horizon
6.2,4.0,2,0.8975044428928914,compact_below_horizon
6.4,4.0,2,0.9264561991152428,compact_below_horizon
6.6000000000000005,4.0,2,0.9554079553375942,compact_below_horizon
6.800000000000001,4.0,2,0.9843597115599456,horizon_near_ECO_branch
7.000000000000001,4.0,2,1.0133114677822967,horizon_interior_static_caution
7.2,4.0,2,1.042263224004648,horizon_interior_static_caution
7.4,4.0,2,1.0712149802269995,horizon_interior_static_caution
7.6000000000000005,4.0,2,1.1001667364493508,horizon_interior_static_caution
7.800000000000001,4.0,2,1.1291184926717022,horizon_interior_static_caution
8.0,4.0,2,1.1580702488940535,horizon_interior_static_caution
8.2,4.0,2,1.1870220051164047,horizon_interior_static_caution
8.4,4.0,2,1.2159737613387562,horizon_interior_static_caution
8.6,4.0,2,1.2449255175611076,horizon_interior_static_caution
8.799999999999999,4.0,2,1.2738772737834585,horizon_interior_static_caution
9.0,4.0,2,1.30282903000581,horizon_interior_static_caution
9.2,4.0,2,1.3317807862281614,horizon_interior_static_caution
9.4,4.0,2,1.3607325424505128,horizon_interior_static_caution
9.6,4.0,2,1.3896842986728641,horizon_interior_static_caution
9.8,4.0,2,1.4186360548952155,horizon_interior_static_caution
10.0,4.0,2,1.4475878111175668,horizon_interior_static_caution
10.2,4.0,2,1.4765395673399182,horizon_interior_static_caution
10.4,4.0,2,1.5054913235622696,horizon_interior_static_caution
10.6,4.0,2,1.5344430797846207,horizon_interior_static_caution
10.8,4.0,2,1.5633948360069723,horizon_interior_static_caution
11.0,4.0,2,1.5923465922293234,horizon_interior_static_caution
11.2,4.0,2,1.6212983484516748,horizon_interior_static_caution
11.4,4.0,2,1.6502501046740263,horizon_interior_static_caution
11.6,4.0,2,1.6792018608963775,horizon_interior_static_caution
11.8,4.0,2,1.708153617118729,horizon_interior_static_caution
12.0,4.0,2,1.7371053733410802,horizon_interior_static_caution
12.2,4.0,2,1.7660571295634313,horizon_interior_static_caution
12.4,4.0,2,1.7950088857857829,horizon_interior_static_caution
12.6,4.0,2,1.823960642008134,horizon_interior_static_caution
12.8,4.0,2,1.8529123982304856,horizon_interior_static_caution
13.0,4.0,2,1.881864154452837,horizon_interior_static_caution
13.2,4.0,2,1.910815910675188,horizon_interior_static_caution
13.4,4.0,2,1.9397676668975397,horizon_interior_static_caution
13.6,4.0,2,1.9687194231198908,horizon_interior_static_caution
13.8,4.0,2,1.9976711793422421,horizon_interior_static_caution
14.0,4.0,2,2.0266229355645935,horizon_interior_static_caution
14.2,4.0,2,2.055574691786945,horizon_interior_static_caution
