r_km,m_msun,epsilon_MeVfm3,p_MeVfm3,phi_raw,f_metric,compactness_2m_r,Phi,gtt_minus
2.4,0.05778902925635064,1058.795688281694,262.08944134088887,0.03331237842312494,0.9288872433524186,0.07111275664758139,-0.7765285776113049,-0.21160008967089003
2.425,0.059522410323437594,1056.0904325714316,261.187689437468,0.033995999851730734,0.9275093284438135,0.07249067155618653,-0.7758449561826991,-0.21188959624987985
2.45,0.061287360038745534,1053.3669463435995,260.27986069485735,0.03468612164824971,0.9261214799896575,0.07387852001034247,-0.7751548343861802,-0.2121822574329348
2.475,0.0630840324677598,1050.6254914838707,259.3660424082811,0.035382725950552606,0.9247238151650018,0.07527618483499823,-0.7744582300838773,-0.21247807760148754
2.5,0.0649125773737097,1047.8663306353424,258.44632212543826,0.03608579472509313,0.9233164515403038,0.0766835484596961,-0.7737551613093367,-0.21277706116150158
2.525,0.06677314021757473,1045.0897271521458,257.5207876310394,0.03679530976739417,0.9218995070618466,0.07810049293815333,-0.7730456462670356,-0.21307921254285095
2.55,0.06866586215906029,1042.2959450531503,256.5895269313743,0.03751125270254454,0.9204731000321849,0.07952689996781513,-0.7723297033318853,-0.21338453619869316
2.575,0.07059088005853764,1039.4852489757727,255.65262823891507,0.03823360498570644,0.9190373490906257,0.08096265090937425,-0.7716073510487234,-0.2136930366048373
2.6,0.07254832647994124,1036.6579041299,254.71017995695755,0.03896234790263365,0.9175923731937478,0.08240762680625223,-0.7708786081317962,-0.21400471825910553
2.625,0.07453832969461734,1033.8141762519463,253.76227066430621,0.03969746257020069,0.9161382915959625,0.0838617084040375,-0.7701434934642292,-0.21431958568068965
2.65,0.07656101368611705,1030.9543315590427,252.8089891000051,0.040438929936942945,0.9146752238301242,0.08532477616987574,-0.7694020260974869,-0.21463764340950164
2.675,0.07861649815592642,1028.0786367033886,251.8504241481204,0.04118673078360798,0.9132032896881923,0.0867967103118077,-0.7686542252508218,-0.21495889600551843
2.7,0.08070489853012677,1025.1873587267569,250.88666482257645,0.041940845723718034,0.9117226092019501,0.08827739079804989,-0.7679001103107118,-0.2152833480481216
2.725,0.08282632596697703,1022.2807650151797,249.91780025205068,0.04270125520414392,0.9102333026237865,0.08976669737621351,-0.7671397008302859,-0.21561100413543122
2.75,0.08498088736541072,1019.3591232538183,248.94391966493026,0.04346793950569035,0.9087354904075429,0.09126450959245712,-0.7663730165287395,-0.21594186888363426
2.775,0.0871686853744389,1016.4227013820317,247.9651123743347,0.04424087874369285,0.9072292931894315,0.09277070681056848,-0.765600077290737,-0.2162759469263075
2.8,0.08938981840345127,1013.4717675486498,246.9814677632074,0.045020052868626315,0.9057148317690289,0.09428516823097116,-0.7648209031658035,-0.21661324291373543
2.825,0.09164438063340617,1010.5065900674696,245.99307526948073,0.04580544166672537,0.9041922270903484,0.09580777290965153,-0.7640355143677044,-0.2169537615122223
2.85,0.0939324620289009,1007.5274373729795,245.00002437131727,0.04659702476061656,0.9026616002229984,0.09733839977700166,-0.7632439312738133,-0.2172975074033992
2.875,0.0962541483511132,1004.5345779763218,244.0024045724314,0.04739478160996253,0.901123072343426,0.09887692765657402,-0.7624461744244673,-0.21764448528352598
2.9,0.09860952117160429,1001.5282804215104,243.00030538749425,0.04819869151211827,0.8995767647162564,0.10042323528374364,-0.7616422645223115,-0.21799469986278763
2.925,0.10099865788697401,998.5088132419054,241.99381632762598,0.049008733602799524,0.8980227986757265,0.10197720132427346,-0.7608322224316303,-0.218348155864586
2.95,0.1034216317343583,995.4764449169618,240.98302688597812,0.049824886856763395,0.896461295607221,0.10353870439277899,-0.7600160691776665,-0.21870485802482603
2.975,0.10587851180775855,992.4314438292578,239.96802652341003,0.050647130088501344,0.8948923769289121,0.10510762307108784,-0.7591938259459285,-0.21906481109119735
3.0,0.10836936307519304,989.3740782218139,238.94890465426212,0.051475441952944595,0.8933161640735094,0.10668383592649061,-0.7583655140814852,-0.21942801982245055
3.025,0.11089424639665961,986.3046161557158,237.9257506322294,0.05230980094618202,0.8917327784701213,0.10826722152987862,-0.7575311550882479,-0.2197944889876688
3.05,0.11345321854289891,983.2233254680432,236.89865373633856,0.05315018540619063,0.8901423415262348,0.10985765847376512,-0.7566907706282392,-0.2201642233655347
3.075,0.11604633221494773,980.1304737301225,235.86770315703168,0.053996573513578734,0.8885449746098142,0.11145502539018581,-0.7558443825208511,-0.2205372277435921
3.1,0.11867363606447039,977.0263282061054,234.83298798235927,0.05484894329234183,0.886940799031525,0.11305920096847503,-0.754992012742088,-0.2209135069175034
3.125,0.12133517471485816,973.9111558118861,233.7945971842862,0.05570727261063129,0.8853299360270861,0.1146700639729139,-0.7541336834237986,-0.22129306569030227
3.15,0.1240309887830842,970.7852230743684,232.7526196051137,0.05657153918153599,0.8837125067397531,0.11628749326024693,-0.7532694168528938,-0.2216759088716417
3.175,0.12676111490230288,967.6487960910843,231.7071439440189,0.05744172056387682,0.8820886322029368,0.11791136779706324,-0.752399235470553,-0.22206204127703735
3.2,0.12952558574518172,964.5021404901767,230.65825874371643,0.05831779416301424,0.8804584333229608,0.1195415666770392,-0.7515231618714157,-0.2224514677271069
3.225,0.1323244300479537,961.3455213907605,229.60605237724425,0.05919973723166893,0.8788220308619611,0.1211779691380389,-0.7506412188027609,-0.2228441930468048
3.25,0.13515767263517814,958.1792033636557,228.55061303487608,0.060087526870755546,0.8771795454209309,0.12282045457906905,-0.7497534291636743,-0.22324022206465266
