r_km,m_msun,epsilon_MeVfm3,p_r_MeVfm3,p_t_MeVfm3,sigma_MeVfm3,anisotropy_ratio_sigma_pr,f_metric,compactness_2m_r,NEC_r,NEC_t,SEC,DEC_r,DEC_t,phi_raw,Phi,gtt_minus
0.8,0.0022897690730814043,1184.8923978429689,304.1216778613138,304.72389900559364,0.6022211442798294,0.0019801980198019802,0.9915469185257874,0.008453081474212604,1.971206437786585e-09,1.9720036781995166e-09,2.7780137356734704e-09,1.165993620725563e-09,1.1651963803126313e-09,0.0037660116218046925,-0.8537816101736552,-0.18130706011792275
0.825,0.0025100030267657955,1183.940228647575,303.80428812951584,304.4436659759981,0.6393778464823174,0.0021045715003526946,0.9910146778326612,0.008985322167338773,1.9695257533852327e-09,1.9703721830783625e-09,2.7755910876318378e-09,1.1651532785248867e-09,1.1643068488317572e-09,0.00400491895639897,-0.8535427028390609,-0.181393711990994
0.85,0.0027438063479215996,1182.9597242036673,303.47745331487994,304.15499963963566,0.6775463247556901,0.002232608443740585,0.9904665984187271,0.00953340158127289,1.9677950541226395e-09,1.9686920125188355e-09,2.773096096144081e-09,1.16428792889359e-09,1.163390970497394e-09,0.004251130041259063,-0.8532964917542007,-0.1814830562719732
0.875,0.0029915669527618947,1181.9509711150693,303.1412022853473,303.85791731125715,0.7167150259098682,0.0023642943305186978,0.989902728576364,0.01009727142363601,1.966014492864174e-09,1.966963304091807e-09,2.7705289599192567e-09,1.1633976482643573e-09,1.1624488370367244e-09,0.004504640555296804,-0.8530429812401631,-0.18157509532863933
0.9,0.003253670710539067,1180.9140584403183,302.7955647270969,303.55243683766304,0.7568721105661118,0.0024996142570590956,0.9893231179492082,0.010676882050791722,1.964184226808048e-09,1.9651861993221246e-09,2.7678898834079547e-09,1.1624825152362945e-09,1.1614805427222178e-09,0.004765446044574941,-0.8527821757508849,-0.18166983159738612
0.925,0.0035305013888098993,1179.849077681149,302.4405711407072,303.2385765987759,0.798005458068649,0.002638552939702609,0.988727817524309,0.0112721824756909,1.9623044174649875e-09,1.9633608436747864e-09,2.765179076784809e-09,1.1615426105647641e-09,1.160486184354965e-09,0.0050335419219804094,-0.8525140798734795,-0.18176726758303816
0.95,0.0038224405991664798,1178.7561227706465,302.0762528372063,302.9163555087077,0.8401026715013405,0.0027810947190015796,0.988116879624074,0.01188312037592598,1.9603752306373214e-09,1.961487386540671e-09,2.762396755930411e-09,1.160578017150931e-09,1.1594658612475814e-09,0.005308923466889678,-0.8522386983285701,-0.18186740585866182
0.975,0.0041298677434448506,1177.6352900610657,301.7026419340127,302.58579301681914,0.8831510828064267,0.002927223564053464,0.9874903578980068,0.01250964210199318,1.9583968363974847e-09,1.959565981221816e-09,2.759543142412619e-09,1.1595888200310127e-09,1.1584196752066813e-09,0.005591585824826365,-0.8519560359706335,-0.1819702490653698
1.0,0.0044531599604231715,1176.486678311323,301.31977135076517,302.2469091087675,0.9271377580023544,0.0030769230769230774,0.9868483073142389,0.013151692685761133,1.9563694090659336e-09,1.9575967849162426e-09,2.7566184634672476e-09,1.1585751063652374e-09,1.1573477305149286e-09,0.005881524007111289,-0.8516660977883486,-0.18207579991212064
1.025,0.004792692073021085,1175.3103886741555,300.92767480504267,301.8997243075403,0.9720495024976255,0.003230176497151257,0.9861907841508557,0.013809215849144308,1.9542931271884867e-09,1.9555799587023284e-09,2.7536229519781437e-09,1.1575369654265137e-09,1.1562501339126716e-09,0.006178732890505145,-0.8513688889049547,-0.18218406117551203
1.05,0.0051488365360118134,1174.1065246829512,300.5263868079746,301.5442596744721,1.0178728664975754,0.003386966706347683,0.9855178459870205,0.01448215401297952,1.9521681735130743e-09,1.953515667522719e-09,2.7505568464566307e-09,1.1564744885888077e-09,1.1551269945791628e-09,0.00648320721684397,-0.8510644145786159,-0.18229503569956834
1.075,0.005521963384258417,1172.8751922382482,300.11594265974026,301.1805368102412,1.0645941505009349,0.0035472762328655435,0.9848295516938961,0.015170448306103888,1.9499947349659105e-09,1.9514040801677718e-09,2.7474203910203172e-09,1.1553877693152258e-09,1.1539784241133646e-09,0.006794941592667596,-0.8507526802027923,-0.18240872639552286
1.1,0.005912440181485478,1171.6164995939068,299.69637844495975,300.80857785584277,1.1121994108829976,0.0037110872565557433,0.9841259614253676,0.01587403857463246,1.9477730026270833e-09,1.949245369258539e-09,2.744213835371266e-09,1.1542769031458122e-09,1.1528045365143564e-09,0.007113930488841239,-0.8504336913066186,-0.18252513624159347
1.125,0.006320631969597398,1170.3305573429504,299.2677310279743,300.4284054935365,1.1606744655621701,0.0038783816135982765,0.9834071366085663,0.01659286339143372,1.9455031717055656e-09,1.9470397112292827e-09,2.740937434773512e-09,1.1531419876850531e-09,1.151605448161336e-09,0.00744016824017043,-0.8501074535552894,-0.18264426828275326
1.15,0.006746901218554274,1169.0174784030817,298.830038048018,300.0400429477647,1.2100048997466533,0.004049140801408397,0.9826731399341988,0.017326860065801173,1.9431854415136443e-09,1.9447872863095076e-09,2.7375914500299223e-09,1.1519831225890925e-09,1.1503812777932294e-09,0.0077736490450094516,-0.8497739727504504,-0.18276612563049474
1.175,0.0071916077768162815,1167.6773780018675,298.38333791428,299.643513986038,1.2601760717579649,0.004223345983615177,0.9819240353466809,0.01807596465331911,1.9408200154407765e-09,1.942488278505529e-09,2.7341761474583992e-09,1.1508004095526586e-09,1.149132146487906e-09,0.00811436696486347,-0.8494332548305964,-0.1828907114625885
1.2,0.007655108822367242,1166.310373661602,297.92766980085815,299.2388429197861,1.3111731189279825,0.004400977995110025,0.9811598880340794,0.01884011196592065,1.9384071009268654e-09,1.940142875581555e-09,2.730691798867407e-09,1.1495939522957033e-09,1.1478581776410136e-09,0.008462315923984547,-0.8490853058714753,-0.18301802902283565
1.225,0.008137758814328003,1164.9165851838393,297.46307364160396,298.82605460517016,1.3629809635661705,0.004582017347162719,0.9803807644178639,0.019619235582136126,1.9359469094349626e-09,1.9377512690402884e-09,2.7271386815308248e-09,1.1483638565497517e-09,1.1465594969444261e-09,0.008817489708961714,-0.8487301320864982,-0.1831480816208147
1.25,0.008639909445170037,1163.4961346336054,296.98959012485926,298.4051744438529,1.4155843189936095,0.004766444232602479,0.9795867321424702,0.02041326785752981,1.9334396564233976e-09,1.9353136541030437e-09,2.723517078162118e-09,1.1471102300439694e-09,1.1452362323643233e-09,0.009179881968305308,-0.8483677398271545,-0.1832808726316221
1.275,0.009161909593539554,1162.0491463232818,296.5072606880848,297.9762283837252,1.4689676956404385,0.0049542385310616084,0.978777860064677,0.021222139935322907,1.9308855613173346e-09,1.932830229689376e-09,2.719827276887815e-09,1.1458331824909378e-09,1.143888514118896e-09,0.009549486212025757,-0.8479981355834341,-0.18341640549560706
1.3,0.009704105277702232,1160.5757467961714,296.01612751238133,297.5392429195846,1.523115407203302,0.00514537981427919,0.9779542182427992,0.022045781757200802,1.928284847479759e-09,1.930301198396221e-09,2.716069571220292e-09,1.1445328255721501e-09,1.1425164746556882e-09,0.009926295811207,-0.8476213259842529,-0.18355468371810027
1.325,0.010266839609618578,1159.0760648097373,295.5162335169033,297.0942450937626,1.5780115768593588,0.005339847351462328,0.9771158779256977,0.022884122074302404,1.9256377421818963e-09,1.9277267664765363e-09,2.712244260029854e-09,1.1432092729232185e-09,1.1411202486285788e-09,0.010310303997574767,-0.847237317797885,-0.18369571086913652
