profile,A,x_match,q,compactness_2M_over_R,compactness_class,f_match,min_f_inside,zero_crossings_inside,finite_curvature,regular_center_proxy,Ricci_min,Ricci_max,Ricci_abs_max,K_min,K_max,K_abs_max,rho_center,rho_boundary
untapered,4.0,4.0,2,0.8608722784628107,compact_below_horizon,0.13912772153718933,-0.26063777046226355,2,True,True,0.00025247551567936233,16.001805504064006,16.001805504064006,0.019996789828826418,42.67629926782554,42.67629926782554,1.0,0.0038899524973518835
untapered,4.0,4.0,4,0.8608722784628107,compact_below_horizon,0.13912772153718933,-0.26063777046226355,2,True,True,0.00025247551567936233,16.001805504064006,16.001805504064006,0.019996789828826418,42.67629926782554,42.67629926782554,1.0,0.0038899524973518835
untapered,4.0,5.0,2,0.7286116219928434,subcompact,0.27138837800715665,-0.26063777046226355,2,True,True,4.216453118016661e-05,16.001805504064006,16.001805504064006,0.00667710109105793,42.67629926782554,42.67629926782554,1.0,0.0015972633304928048
untapered,4.0,5.0,4,0.7286116219928434,subcompact,0.27138837800715665,-0.26063777046226355,2,True,True,4.216453118016661e-05,16.001805504064006,16.001805504064006,0.00667710109105793,42.67629926782554,42.67629926782554,1.0,0.0015972633304928048
untapered,8.0,3.0,2,2.0753426353496445,horizon_interior_static_caution,-1.0753426353496445,-1.521275540924527,1,True,True,0.005024979746967029,32.00361100800808,32.00361100800808,0.2980410998751821,170.70519707002285,170.70519707002285,1.0,0.012200344097724948
untapered,8.0,3.0,4,2.0753426353496445,horizon_interior_static_caution,-1.0753426353496445,-1.521275540924527,1,True,True,0.005024979746967029,32.00361100800808,32.00361100800808,0.2980410998751821,170.70519707002285,170.70519707002285,1.0,0.012200344097724948
untapered,8.0,4.0,2,1.7217445569256213,horizon_interior_static_caution,-0.7217445569256213,-1.521275540924527,1,True,True,0.0005049510503445931,32.00361100800808,32.00361100800808,0.07998715931877677,170.70519707002285,170.70519707002285,1.0,0.0038899524973518835
untapered,8.0,4.0,4,1.7217445569256213,horizon_interior_static_caution,-0.7217445569256213,-1.521275540924527,1,True,True,0.0005049510503445931,32.00361100800808,32.00361100800808,0.07998715931877677,170.70519707002285,170.70519707002285,1.0,0.0038899524973518835
untapered,8.0,5.0,2,1.4572232439856867,horizon_interior_static_caution,-0.4572232439856867,-1.521275540924527,1,True,True,8.432906236033322e-05,32.00361100800808,32.00361100800808,0.02670840436423172,170.70519707002285,170.70519707002285,1.0,0.0015972633304928048
untapered,8.0,5.0,4,1.4572232439856867,horizon_interior_static_caution,-0.4572232439856867,-1.521275540924527,1,True,True,8.432906236033322e-05,32.00361100800808,32.00361100800808,0.02670840436423172,170.70519707002285,170.70519707002285,1.0,0.0015972633304928048
