xi,phi,eps_tilde,m_tilde,phi_linear
0.0015685733192712535,0.9999996401545167,1.049999208340105,1.2576085985136333e-08,0.42377668678864067
0.0015944175610563105,0.999999610270736,1.0499991425958166,1.3429005733981647e-08,0.42377666946780695
0.0016202618028413674,0.9999995794107698,1.0499990747039234,1.4310028801721111e-08,0.423776651863923
0.0016461060446264246,0.9999995475898121,1.049999004697853,1.521961071621356e-08,0.42377663397698884
0.0016719502864114815,0.9999995148221179,1.0499989326089654,1.6158207005160133e-08,0.42377661580700454
0.0016977945281965385,0.9999994811210738,1.0499988584667124,1.7126273195945358e-08,0.4237765973539701
0.0017236387699815954,0.9999994464992639,1.0499987822987786,1.8124264815791085e-08,0.42377657861788554
0.0017494830117666524,0.9999994109685284,1.0499987041312135,1.9152637391592566e-08,0.423776559598751
0.0017753272535517093,0.9999993745400183,1.0499986239885488,2.021184645007738e-08,0.42377654029656636
0.0018011714953367662,0.9999993372242444,1.0499985418939088,2.130234751763652e-08,0.4237765207113317
0.0018270157371218232,0.9999992990311231,1.0499984578691095,2.242459612048833e-08,0.4237765008430472
0.0018528599789068801,0.9999992599700169,1.0499983719347492,2.3579047784504585e-08,0.4237764806917127
0.001878704220691937,0.999999220049774,1.0499982841102937,2.4766158035379414e-08,0.4237764602573284
0.001930392704262051,0.9999991376648981,1.0499981028637426,2.724017639875072e-08,0.42377641853941034
0.001982081187832165,0.9999990519382347,1.0499979142652849,2.9850295410734724e-08,0.4237763756892933
0.0020337696714022788,0.9999989629252458,1.049997718436939,3.260015926607195e-08,0.42377633170697765
0.0020854581549723927,0.9999988706758948,1.0499975154886265,3.549341215615999e-08,0.4237762865924638
0.002137146638542507,0.9999987752353114,1.0499973055196352,3.8533698266213054e-08,0.423776240345752
0.002188835122112621,0.9999986766443629,1.049997088619875,4.1724661778183687e-08,0.4237761929668427
0.0022405236056827348,0.9999985749401452,1.0499968648709594,4.506994686746142e-08,0.42377614445573625
0.00227928996836032,0.9999984966393173,1.0499966926094362,4.768237641715625e-08,0.42377610732940224
0.002318056331037906,0.9999984166194449,1.049996516566038,5.0385199083095426e-08,0.4237760695662077
0.002395589056393077,0.9999982514708131,1.0499961532397635,5.6068173287163514e-08,0.4237759921292379
0.0024731217817482477,0.9999980795831881,1.0499957750878082,6.213116850822687e-08,0.42377591214482807
0.0025506545071034186,0.9999979010346919,1.0499953822820496,6.858648374947825e-08,0.42377582961297977
0.0026281872324585894,0.9999977158942284,1.0499949749740847,7.544641797739505e-08,0.4237757445336944
0.0027057199578137603,0.9999975242228043,1.0499945532981378,8.272327013820382e-08,0.42377565690697355
0.002783252683168931,0.9999973260746289,1.0499941173734784,9.042933913732632e-08,0.4237755667328188
