x,r_km,f_metric,Phi,background,a_gl,psi,dpsi_dx,gradient_density,potential_density,weighted_free_energy_density,gl_residual
0.1119160958241418,1.1331504702194357,0.9831984205692098,-0.802302517891215,v6_tov,-79.99999996010314,8.932479616116789,-0.06317698735631501,0.0019621355271499503,-1599.9888884148484,-8.98392216354688,1.6392073121096473e-07
0.11504315182476102,1.1648119122257052,0.9822633847407941,-0.8018771007233431,v6_tov,-79.99999995529842,8.93227816424031,-0.06570185188356409,0.0021200845512425676,-1599.9885056481178,-9.497012951065487,1.6585306639171904e-07
0.11817020782538024,1.196473354231975,0.9813055166222784,-0.8014406915042204,v6_tov,-79.99999994991508,8.93206870937642,-0.06829703486374473,0.0022886424172101076,-1599.9881008023112,-10.024687894756555,1.6785270418040454e-07
0.12129726382599945,1.2281347962382445,0.9803231020515041,-0.8009924096458118,v6_tov,-79.99999994388344,8.93185102693492,-0.0709655992717035,0.002468510566946921,-1599.9876726283976,-10.566992316924319,1.6962053450697567e-07
0.12442431982661868,1.2597962382445143,0.9793160738049917,-0.8005321629293682,v6_tov,-79.99999993712541,8.93162488257034,-0.07371068115417483,0.002660441636980564,-1599.9872197944962,-11.123965703699978,1.7194554402522044e-07
0.12755137582723788,1.2914576802507836,0.9782866555743698,-0.8000609778476799,v6_tov,-79.99999992955351,8.931390032079294,-0.07653548111285084,0.0028652450243205293,-1599.986740880832,-11.69563572010448,1.7408615349268075e-07
0.1306784318278571,1.323119122257053,0.9772349873318812,-0.799578871526218,v6_tov,-79.99999992106976,8.931146221099391,-0.07944335421187673,0.003083785460631149,-1599.986234373963,-12.282041083707897,1.759992755978601e-07
0.13380548782847634,1.354780564263323,0.9761584726974752,-0.7990845036175284,v6_tov,-79.99999991156432,8.9308931844443,-0.0824378100477223,0.003316982842060366,-1599.9856986598484,-12.883238934859028,1.7867296264739707e-07
0.13693254382909556,1.3864420062695926,0.9750589556301497,-0.7985787202763567,v6_tov,-79.99999990091413,8.930630645802216,-0.08552242555332291,0.0035658321736083895,-1599.9851320172163,-13.499261176839582,1.808972456274205e-07
0.14005959982971478,1.418103448275862,0.9739376683606419,-0.7980620749069036,v6_tov,-79.99999988898139,8.930358317616271,-0.08870087653168325,0.003831395549423065,-1599.9845326108953,-14.13014281297505,1.834696377045475e-07
0.143186655830334,1.4497648902821316,0.9727947618733065,-0.7975345863052818,v6_tov,-79.99999987561159,8.930075900585779,-0.0919770428939041,0.004114813093757898,-1599.9838984838723,-14.775926342711248,1.8576304228190565e-07
