eps_c_MeVfm3,p_c_MeVfm3,B_MeVfm3,Delta_MeV,mu_ref_MeV,epsilon_surface_MeVfm3,pair_pressure_MeVfm3,M_msun,R_km,compactness_2M_R,max_compactness_inside,surface_f_metric,n_steps,status
650.0,125.8242119136575,80,50,400.0,272.5273642590275,15.8242119136575,1.637950635342999,10.475,0.4618065983045292,0.4618065983045292,0.5381934016954708,419,ok
700.0,142.49087858032416,80,50,400.0,272.5273642590275,15.8242119136575,1.6851969844482575,10.475,0.4751273146263851,0.4751273146263851,0.524872685373615,419,ok
750.0,159.15754524699082,80,50,400.0,272.5273642590275,15.8242119136575,1.7245592377214083,10.475,0.4862251755102502,0.4862251755102502,0.5137748244897498,419,ok
800.0,175.82421191365748,80,50,400.0,272.5273642590275,15.8242119136575,1.7539041030358804,10.45,0.49568172821670337,0.49568172821670337,0.5043182717832966,418,ok
850.0,192.49087858032414,80,50,400.0,272.5273642590275,15.8242119136575,1.7766527744336646,10.425,0.5033149742919256,0.5033149742919255,0.4966850257080745,417,ok
900.0,209.15754524699082,80,50,400.0,272.5273642590275,15.8242119136575,1.7905894538275124,10.375,0.5097077928773411,0.5097077928773412,0.49029220712265875,415,ok
950.0,225.82421191365748,80,50,400.0,272.5273642590275,15.8242119136575,1.8085903699590886,10.35,0.5160754749398146,0.5160754749398146,0.48392452506018535,414,ok
1000.0,242.49087858032414,80,50,400.0,272.5273642590275,15.8242119136575,1.8159049211583178,10.3,0.5206780114316417,0.5206780114316417,0.4793219885683583,412,ok
1050.0,259.1575452469908,80,50,400.0,272.5273642590275,15.8242119136575,1.8211301391370758,10.25,0.5247234497348742,0.5247234497348742,0.47527655026512583,410,ok
1100.0,275.82421191365745,80,50,400.0,272.5273642590275,15.8242119136575,1.8325578290076325,10.225,0.529307110642858,0.529307110642858,0.47069288935714204,409,ok
1150.0,292.49087858032414,80,50,400.0,272.5273642590275,15.8242119136575,1.8342947293317944,10.175,0.5324122714941812,0.5324122714941811,0.46758772850581887,407,ok
1200.0,309.1575452469908,80,50,400.0,272.5273642590275,15.8242119136575,1.8346302790001843,10.125,0.5351393436546755,0.5351393436546754,0.4648606563453246,405,ok
1250.0,325.82421191365745,80,50,400.0,272.5273642590275,15.8242119136575,1.8415621659004477,10.1,0.5384908979285318,0.5384908979285318,0.4615091020714682,404,ok
1300.0,342.49087858032414,80,50,400.0,272.5273642590275,15.8242119136575,1.8395107787690677,10.05,0.5405671270323582,0.5405671270323583,0.4594328729676417,402,ok
1350.0,359.1575452469908,80,50,400.0,272.5273642590275,15.8242119136575,1.836498488510567,10.0,0.5423803311224554,0.5423803311224554,0.45761966887754457,400,ok
1400.0,375.82421191365745,80,50,400.0,272.5273642590275,15.8242119136575,1.840276281230941,9.975,0.5448581869917715,0.5448581869917716,0.4551418130082284,399,ok
1450.0,392.49087858032414,80,50,400.0,272.5273642590275,15.8242119136575,1.8355956958785455,9.925,0.546210282941115,0.5462102829411148,0.45378971705888516,397,ok
1500.0,409.1575452469908,80,50,400.0,272.5273642590275,15.8242119136575,1.8377683080092333,9.9,0.548237729207887,0.5482377292078869,0.45176227079211306,396,ok
1550.0,425.82421191365745,80,50,400.0,272.5273642590275,15.8242119136575,1.8317620455357835,9.85,0.5492197957011383,0.5492197957011383,0.4507802042988617,394,ok
1600.0,442.49087858032414,80,50,400.0,272.5273642590275,15.8242119136575,1.8326363755605988,9.825,0.5508801201986181,0.5508801201986181,0.4491198798013819,393,ok
1650.0,459.1575452469908,80,50,400.0,272.5273642590275,15.8242119136575,1.8255703683648092,9.775,0.5515630551024173,0.5515630551024173,0.4484369448975827,391,ok
1700.0,475.82421191365745,80,50,400.0,272.5273642590275,15.8242119136575,1.8253872019552715,9.75,0.55292183703132,0.5529218370313199,0.4470781629686801,390,ok
1750.0,492.49087858032414,80,50,400.0,272.5273642590275,15.8242119136575,1.8235151269964565,9.725,0.553774708313966,0.5537747083139661,0.44622529168603386,389,ok
1800.0,509.1575452469908,80,50,400.0,272.5273642590275,15.8242119136575,1.8164199906904404,9.675,0.5544707692898843,0.5544707692898843,0.44552923071011574,387,ok
1850.0,525.8242119136575,80,50,400.0,272.5273642590275,15.8242119136575,1.814972163650689,9.65,0.5554641210637006,0.5554641210637006,0.4445358789362994,386,ok
1900.0,542.4908785803241,80,50,400.0,272.5273642590275,15.8242119136575,1.8131617043018042,9.625,0.5563513628436383,0.5563513628436383,0.4436486371563617,385,ok
1950.0,559.1575452469908,80,50,400.0,272.5273642590275,15.8242119136575,1.8039558612535573,9.575,0.5564171162977029,0.5564171162977027,0.44358288370229726,383,ok
2000.0,575.8242119136575,80,50,400.0,272.5273642590275,15.8242119136575,1.8015563592313832,9.55,0.5571316591341434,0.5571316591341433,0.4428683408658567,382,ok
2050.0,592.4908785803241,80,50,400.0,272.5273642590275,15.8242119136575,1.7988795345960389,9.525,0.5577639656815349,0.5577639656815349,0.44223603431846514,381,ok
2100.0,609.1575452469908,80,50,400.0,272.5273642590275,15.8242119136575,1.7959489093820618,9.5,0.5583206991850633,0.5583206991850633,0.44167930081493667,380,ok
2150.0,625.8242119136575,80,50,400.0,272.5273642590275,15.8242119136575,1.7927858215955248,9.475,0.5588079124569064,0.5588079124569064,0.4411920875430936,379,ok
2200.0,642.4908785803241,80,50,400.0,272.5273642590275,15.8242119136575,1.7894096569146922,9.45,0.559231112213433,0.559231112213433,0.440768887786567,378,ok
350.0,59.963514321296664,90,100,400.0,170.10945703611,63.29684765463,1.9079929051888462,13.125,0.42932956857892685,0.42932956857892696,0.5706704314210731,525,ok
400.0,76.63018098796333,90,100,400.0,170.10945703611,63.29684765463,2.05929517516509,13.25,0.4590035879332356,0.4590035879332356,0.5409964120667644,530,ok
450.0,93.29684765462999,90,100,400.0,170.10945703611,63.29684765463,2.152464605223131,13.25,0.4797704518573968,0.4797704518573968,0.5202295481426031,530,ok
500.0,109.96351432129666,90,100,400.0,170.10945703611,63.29684765463,2.22023697017105,13.225,0.4958119683574297,0.4958119683574297,0.5041880316425703,529,ok
550.0,126.63018098796331,90,100,400.0,170.10945703611,63.29684765463,2.2589166224521615,13.15,0.5073268001439898,0.5073268001439898,0.4926731998560102,526,ok
600.0,143.29684765462997,90,100,400.0,170.10945703611,63.29684765463,2.2878806956389055,13.075,0.5167792091702444,0.5167792091702444,0.48322079082975555,523,ok
650.0,159.96351432129666,90,100,400.0,170.10945703611,63.29684765463,2.3090512569231256,13.0,0.5245701547909302,0.5245701547909302,0.47542984520906983,520,ok
